"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","998.9","...","1000.5","2018-08-01 07:33","996.3","2018-08-01 16:07","31.1","36.1","2018-08-01 12:57","28.0","2018-08-01 04:17","...","65","42","2018-08-01 16:21","2.5","6","11.3","345","2018-08-01 14:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","997.7","...","999.3","2018-08-02 07:51","995.1","2018-08-02 16:16","31.1","35.9","2018-08-02 12:41","27.9","2018-08-02 04:08","...","62","38","2018-08-02 14:08","2.9","262","11.4","291","2018-08-02 13:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","999.0","...","1001.4","2018-08-03 21:34","997.3","2018-08-03 01:51","29.0","36.0","2018-08-03 12:22","24.9","2018-08-03 16:26","...","69","41","2018-08-03 12:22","1.7","175","9.7","104","2018-08-03 15:13","9.5","...","...","","...","","...","...","...","...","...","...","","..."
"04","1001.0","...","1002.4","2018-08-04 23:03","999.3","2018-08-04 17:12","28.9","35.0","2018-08-04 11:02","25.3","2018-08-04 02:37","...","68","45","2018-08-04 11:03","1.5","158","9.1","194","2018-08-04 14:53","2.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1001.8","...","1003.5","2018-08-05 07:01","999.6","2018-08-05 16:41","X","27.9","2018-08-05 14:45","26.5","2018-08-05 05:33","...","X","72","2018-08-05 02:02","1.5","178","9.4","93","2018-08-05 14:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1000.9","...","1003.2","2018-08-06 08:11","998.5","2018-08-06 16:37","X","27.9","2018-08-06 12:01","26.5","2018-08-06 11:21","...","X","72","2018-08-06 13:31","1.9","92","8.7","93","2018-08-06 17:44","5.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","1000.3","...","1002.0","2018-08-07 07:01","997.6","2018-08-07 11:12","31.1","36.0","2018-08-07 11:54","25.0","2018-08-07 11:12","...","58","43","2018-08-07 11:53","2.6","84","10.6","94","2018-08-07 18:09","7.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1000.7","...","1001.8","2018-08-08 21:31","999.3","2018-08-08 16:21","30.0","34.4","2018-08-08 12:31","26.5","2018-08-08 05:23","...","62","46","2018-08-08 11:12","2.3","89","10.3","88","2018-08-08 15:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1000.9","...","1002.3","2018-08-09 08:31","999.3","2018-08-09 16:31","29.7","35.0","2018-08-09 12:32","26.2","2018-08-09 05:28","...","64","47","2018-08-09 12:33","1.8","94","7.4","94","2018-08-09 16:15","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","999.7","...","1001.3","2018-08-10 07:55","997.7","2018-08-10 16:21","30.0","34.7","2018-08-10 15:53","26.1","2018-08-10 04:04","...","65","44","2018-08-10 11:23","2.0","175","7.2","83","2018-08-10 18:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","996.6","...","999.5","2018-08-11 00:01","993.9","2018-08-11 16:38","29.8","34.5","2018-08-11 13:07","27.2","2018-08-11 04:31","...","69","50","2018-08-11 10:54","1.4","157","8.4","105","2018-08-11 14:28","13.5","...","...","","...","","...","...","...","...","...","...","","..."
"12","992.9","...","995.1","2018-08-12 00:01","990.9","2018-08-12 16:34","28.7","30.8","2018-08-12 09:52","26.9","2018-08-12 12:03","...","75","64","2018-08-12 10:00","2.4","257","10.2","308","2018-08-12 10:04","11.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","994.9","...","996.7","2018-08-13 23:11","993.2","2018-08-13 00:01","29.7","33.8","2018-08-13 12:01","26.6","2018-08-13 05:43","...","70","55","2018-08-13 11:03","2.0","95","10.1","88","2018-08-13 13:00","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","996.0","...","997.2","2018-08-14 07:41","994.1","2018-08-14 16:22","27.7","29.7","2018-08-14 13:21","25.8","2018-08-14 08:49","...","81","69","2018-08-14 14:02","1.5","1","7.3","269","2018-08-14 17:23","10.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","997.1","...","998.3","2018-08-15 22:31","995.2","2018-08-15 14:51","28.8","31.9","2018-08-15 14:06","26.2","2018-08-15 01:53","...","73","60","2018-08-15 11:32","2.3","298","12.4","322","2018-08-15 14:50","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"16","996.4","...","998.0","2018-08-16 00:01","994.5","2018-08-16 14:51","29.8","33.4","2018-08-16 14:33","26.6","2018-08-16 06:02","...","67","53","2018-08-16 14:41","2.5","290","10.1","254","2018-08-16 12:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","995.7","...","998.5","2018-08-17 23:21","993.5","2018-08-17 13:32","29.2","35.6","2018-08-17 12:03","26.5","2018-08-17 18:23","...","73","43","2018-08-17 12:05","1.5","44","9.9","75","2018-08-17 15:03","49.5","...","...","","...","","...","...","...","...","...","...","","..."
"18","998.4","...","999.6","2018-08-18 21:01","996.7","2018-08-18 15:43","28.3","32.1","2018-08-18 16:12","26.1","2018-08-18 03:21","...","77","58","2018-08-18 16:12","1.4","289","6.3","84","2018-08-18 16:51","7.5","...","...","","...","","...","...","...","...","...","...","","..."
"19","1000.1","...","1001.8","2018-08-19 21:42","998.8","2018-08-19 02:02","27.8","33.2","2018-08-19 12:01","26.1","2018-08-19 04:55","...","80","54","2018-08-19 12:13","1.5","4","5.7","287","2018-08-19 20:24","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"20","999.2","...","1001.3","2018-08-20 00:01","997.7","2018-08-20 14:11","28.3","34.3","2018-08-20 12:22","25.1","2018-08-20 03:03","...","75","49","2018-08-20 12:22","1.5","56","7.5","202","2018-08-20 15:57","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","996.7","...","998.5","2018-08-21 00:09","995.0","2018-08-21 13:43","29.1","34.2","2018-08-21 11:25","26.0","2018-08-21 02:41","...","72","51","2018-08-21 11:22","1.5","104","5.9","70","2018-08-21 17:14","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"22","994.5","...","996.4","2018-08-22 08:31","992.2","2018-08-22 16:12","29.9","34.0","2018-08-22 13:05","26.3","2018-08-22 02:41","...","68","53","2018-08-22 14:11","2.3","90","8.8","98","2018-08-22 18:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","991.8","...","993.6","2018-08-23 00:01","990.0","2018-08-23 13:41","29.6","32.5","2018-08-23 13:02","27.0","2018-08-23 23:36","...","71","58","2018-08-23 13:41","2.9","88","14.5","88","2018-08-23 12:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","993.4","...","995.1","2018-08-24 21:53","991.7","2018-08-24 01:55","27.3","29.8","2018-08-24 12:07","25.5","2018-08-24 05:41","...","82","71","2018-08-24 12:24","1.5","87","6.5","280","2018-08-24 12:43","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","994.5","...","995.7","2018-08-25 08:36","993.2","2018-08-25 16:13","28.7","32.0","2018-08-25 12:29","26.1","2018-08-25 04:48","...","75","61","2018-08-25 10:33","1.9","98","10.1","83","2018-08-25 21:50","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","996.5","...","999.3","2018-08-26 22:53","994.8","2018-08-26 01:55","28.3","32.5","2018-08-26 11:51","26.1","2018-08-26 22:14","...","77","57","2018-08-26 11:51","1.7","241","7.6","221","2018-08-26 13:20","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1000.3","...","1003.3","2018-08-27 21:21","998.3","2018-08-27 04:04","27.7","32.7","2018-08-27 12:32","25.1","2018-08-27 20:11","...","77","54","2018-08-27 12:32","1.4","86","7.4","275","2018-08-27 17:29","13.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1002.6","...","1004.3","2018-08-28 20:53","1000.5","2018-08-28 02:31","26.9","31.8","2018-08-28 13:31","24.5","2018-08-28 05:21","...","80","54","2018-08-28 13:11","1.5","19","8.9","108","2018-08-28 13:53","11.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1003.4","...","1005.8","2018-08-29 22:33","1001.5","2018-08-29 13:41","27.0","32.0","2018-08-29 13:01","24.6","2018-08-29 19:21","...","79","52","2018-08-29 13:01","1.3","148","6.8","322","2018-08-29 13:35","16.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1006.5","...","1009.2","2018-08-30 22:45","1004.5","2018-08-30 02:32","26.2","31.3","2018-08-30 11:01","24.4","2018-08-30 17:08","...","81","56","2018-08-30 11:44","1.3","97","7.6","95","2018-08-30 13:54","22.5","...","...","","...","","...","...","...","...","...","...","","..."
"31","1008.4","...","1009.3","2018-08-31 06:41","1006.8","2018-08-31 13:02","26.4","33.1","2018-08-31 12:01","24.2","2018-08-31 15:46","...","79","50","2018-08-31 12:01","1.5","160","9.8","157","2018-08-31 14:43","7.5","...","...","","...","","...","...","...","...","...","...","","..."
