"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.3","...","1017.1","2018-12-01 08:12","1011.9","2018-12-01 15:14","22.7","27.5","2018-12-01 11:45","18.7","2018-12-01 05:51","...","70","52","2018-12-01 12:23","1.9","93","6.8","86","2018-12-01 21:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1012.1","...","1013.6","2018-12-02 07:41","1009.2","2018-12-02 14:01","24.1","30.0","2018-12-02 13:21","20.4","2018-12-02 06:03","...","67","44","2018-12-02 12:43","1.5","165","6.5","74","2018-12-02 00:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1012.8","...","1015.0","2018-12-03 09:11","1010.2","2018-12-03 14:29","23.0","29.8","2018-12-03 13:43","18.2","2018-12-03 06:35","...","65","30","2018-12-03 12:57","1.3","160","6.0","160","2018-12-03 06:16","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1013.1","...","1014.9","2018-12-04 08:53","1010.9","2018-12-04 14:51","23.7","30.0","2018-12-04 12:51","18.9","2018-12-04 06:31","...","69","51","2018-12-04 12:51","1.5","2","8.9","97","2018-12-04 21:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1013.7","...","1016.5","2018-12-05 09:01","1010.8","2018-12-05 23:51","21.2","23.7","2018-12-05 19:52","19.8","2018-12-05 06:53","...","86","81","2018-12-05 19:14","3.5","83","11.0","87","2018-12-05 19:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1012.1","...","1014.9","2018-12-06 23:41","1009.3","2018-12-06 14:32","22.9","28.6","2018-12-06 13:31","20.1","2018-12-06 20:54","...","83","64","2018-12-06 11:23","1.6","93","9.4","88","2018-12-06 19:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1018.3","...","1020.4","2018-12-07 08:51","1014.7","2018-12-07 00:08","17.6","20.6","2018-12-07 00:05","16.4","2018-12-07 17:31","...","92","87","2018-12-07 03:03","3.3","92","10.3","95","2018-12-07 13:00","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1019.9","...","1021.8","2018-12-08 08:57","1018.4","2018-12-08 14:31","X","18.0","2018-12-08 11:21","15.6","2018-12-08 06:08","...","X","91","2018-12-08 11:15","3.5","94","11.5","62","2018-12-08 18:38","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1019.0","...","1021.6","2018-12-09 08:50","1016.6","2018-12-09 23:22","X","18.4","2018-12-09 17:22","15.2","2018-12-09 05:02","...","X","99","2018-12-09 03:12","3.2","90","10.8","88","2018-12-09 12:01","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1014.8","...","1016.8","2018-12-10 00:01","1012.8","2018-12-10 23:53","X","20.7","2018-12-10 14:34","16.2","2018-12-10 00:31","...","X","99","2018-12-10 23:41","2.1","78","8.4","111","2018-12-10 15:19","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"11","1015.6","...","1020.2","2018-12-11 22:43","1012.5","2018-12-11 00:31","X","20.2","2018-12-11 10:11","15.6","2018-12-11 23:41","...","X","99","2018-12-11 22:43","1.8","96","8.9","85","2018-12-11 20:33","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"12","1021.9","...","1023.8","2018-12-12 08:51","1020.0","2018-12-12 00:01","X","15.8","2018-12-12 00:02","13.2","2018-12-12 20:43","...","X","99","2018-12-12 21:45","2.9","97","11.3","101","2018-12-12 19:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1021.5","...","1022.9","2018-12-13 08:51","1019.4","2018-12-13 13:52","X","17.2","2018-12-13 11:06","14.3","2018-12-13 00:17","...","X","99","2018-12-13 02:56","3.2","94","11.8","101","2018-12-13 20:42","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1022.5","...","1024.3","2018-12-14 08:43","1021.0","2018-12-14 13:54","X","17.7","2018-12-14 15:44","14.8","2018-12-14 06:14","...","X","99","2018-12-14 02:13","3.6","88","11.4","98","2018-12-14 19:48","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"15","1019.7","...","1022.8","2018-12-15 08:13","1016.6","2018-12-15 23:25","X","20.5","2018-12-15 12:22","15.4","2018-12-15 00:56","...","X","99","2018-12-15 11:43","3.8","85","11.2","92","2018-12-15 01:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1016.9","...","1018.8","2018-12-16 08:51","1015.0","2018-12-16 14:13","X","21.5","2018-12-16 11:03","16.3","2018-12-16 23:51","...","X","99","2018-12-16 14:03","1.5","81","7.7","316","2018-12-16 12:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1020.2","...","1022.2","2018-12-17 10:11","1017.2","2018-12-17 00:01","X","17.5","2018-12-17 12:43","12.4","2018-12-17 04:04","...","X","99","2018-12-17 08:01","1.9","89","8.0","95","2018-12-17 11:04","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1019.4","...","1021.6","2018-12-18 00:01","1016.3","2018-12-18 14:54","X","21.3","2018-12-18 13:11","12.0","2018-12-18 02:42","...","X","99","2018-12-18 22:34","3.0","91","9.5","98","2018-12-18 17:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1015.9","...","1018.5","2018-12-19 08:11","1013.1","2018-12-19 15:03","X","24.9","2018-12-19 13:01","15.9","2018-12-19 06:35","...","X","80","2018-12-19 13:31","1.8","162","7.1","86","2018-12-19 01:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1013.1","...","1015.2","2018-12-20 00:01","1009.6","2018-12-20 13:41","X","28.0","2018-12-20 13:31","14.6","2018-12-20 05:13","...","X","63","2018-12-20 13:41","1.3","162","6.2","323","2018-12-20 15:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1012.9","...","1015.5","2018-12-21 08:51","1010.9","2018-12-21 14:13","X","24.8","2018-12-21 11:42","16.7","2018-12-21 05:22","...","X","87","2018-12-21 21:49","2.3","85","10.5","50","2018-12-21 13:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
