"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.2","...","1009.8","2018-06-01 22:12","1006.1","2018-06-01 01:21","23.8","26.8","2018-06-01 00:02","21.6","2018-06-01 21:54","...","79","71","2018-06-01 16:45","3.1","99","11.6","69","2018-06-01 19:16","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1007.6","...","1009.2","2018-06-02 08:17","1006.2","2018-06-02 15:38","24.3","26.2","2018-06-02 11:11","22.3","2018-06-02 00:08","...","72","62","2018-06-02 10:32","2.9","103","9.4","99","2018-06-02 14:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1005.1","...","1006.5","2018-06-03 07:01","999.5","2018-06-03 16:11","26.2","29.9","2018-06-03 10:11","20.8","2018-06-03 03:11","...","78","60","2018-06-03 10:01","2.0","101","7.5","75","2018-06-03 22:33","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1004.8","...","1006.4","2018-06-04 22:04","999.1","2018-06-04 14:21","27.5","32.9","2018-06-04 12:43","20.8","2018-06-04 05:41","...","76","51","2018-06-04 12:41","2.1","103","8.7","79","2018-06-04 14:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1005.0","...","1006.8","2018-06-05 21:21","999.3","2018-06-05 15:51","28.6","34.4","2018-06-05 12:21","21.8","2018-06-05 05:31","...","70","43","2018-06-05 10:51","1.6","94","8.2","95","2018-06-05 15:37","7.5","...","...","","...","","...","...","...","...","...","...","","..."
"06","1004.9","...","1006.5","2018-06-06 22:11","999.2","2018-06-06 13:31","27.7","33.9","2018-06-06 11:14","22.0","2018-06-06 05:01","...","78","49","2018-06-06 11:01","1.6","23","7.3","76","2018-06-06 13:14","20.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1003.0","...","1004.6","2018-06-07 00:01","1000.4","2018-06-07 16:31","28.9","32.9","2018-06-07 11:54","23.0","2018-06-07 00:01","...","72","48","2018-06-07 12:01","3.3","84","11.3","114","2018-06-07 12:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","999.7","...","1002.6","2018-06-08 00:01","997.3","2018-06-08 14:41","29.6","33.0","2018-06-08 13:21","26.6","2018-06-08 23:51","...","70","52","2018-06-08 11:17","3.1","85","10.0","88","2018-06-08 12:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","996.7","...","998.8","2018-06-09 00:01","993.8","2018-06-09 15:31","27.9","31.4","2018-06-09 11:51","25.7","2018-06-09 05:31","...","74","57","2018-06-09 11:33","2.7","95","8.8","63","2018-06-09 17:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","996.2","...","997.6","2018-06-10 21:22","994.2","2018-06-10 14:21","27.3","30.2","2018-06-10 10:05","25.2","2018-06-10 19:11","...","79","64","2018-06-10 09:31","1.5","99","6.0","99","2018-06-10 14:34","15.0","...","...","","...","","...","...","...","...","...","...","","..."
