"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"11","1003.8","...","1005.8","2018-09-11 21:13","1001.0","2018-09-11 03:31","29.2","33.3","2018-09-11 13:51","25.2","2018-09-11 00:11","...","66","52","2018-09-11 13:51","2.6","90","13.0","84","2018-09-11 00:26","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1005.1","...","1006.5","2018-09-12 06:41","1003.9","2018-09-12 03:21","28.9","32.7","2018-09-12 10:22","26.1","2018-09-12 05:31","...","70","58","2018-09-12 10:25","1.5","92","6.5","317","2018-09-12 14:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1005.6","...","1007.0","2018-09-13 20:02","1003.9","2018-09-13 13:51","29.5","33.6","2018-09-13 13:02","26.4","2018-09-13 05:34","...","62","43","2018-09-13 12:46","3.0","91","10.6","97","2018-09-13 12:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1005.6","...","1007.0","2018-09-14 08:02","1003.6","2018-09-14 13:19","29.4","33.4","2018-09-14 11:31","27.3","2018-09-14 04:15","...","64","45","2018-09-14 11:32","4.0","91","11.9","94","2018-09-14 14:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1002.2","...","1005.2","2018-09-15 00:01","999.5","2018-09-15 18:11","28.9","31.6","2018-09-15 12:07","26.2","2018-09-15 09:01","...","71","58","2018-09-15 19:24","4.7","90","20.1","113","2018-09-15 18:18","21.5","...","...","","...","","...","...","...","...","...","...","","..."
"16","1003.7","...","1007.4","2018-09-16 21:21","999.9","2018-09-16 04:51","29.8","32.4","2018-09-16 13:31","27.3","2018-09-16 03:01","...","66","56","2018-09-16 13:51","3.8","106","16.1","94","2018-09-16 00:54","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"17","1008.1","...","1011.2","2018-09-17 23:22","1005.2","2018-09-17 13:41","31.0","36.7","2018-09-17 14:11","26.8","2018-09-17 05:51","...","61","37","2018-09-17 12:32","1.5","110","6.1","113","2018-09-17 20:31","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1009.8","...","1011.4","2018-09-18 08:03","1007.4","2018-09-18 15:27","30.2","34.9","2018-09-18 12:42","26.7","2018-09-18 05:58","...","62","41","2018-09-18 12:31","2.6","96","11.3","91","2018-09-18 17:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1008.0","...","1010.0","2018-09-19 00:01","1005.8","2018-09-19 15:23","29.9","33.7","2018-09-19 11:23","27.2","2018-09-19 05:06","...","58","43","2018-09-19 11:23","2.8","101","9.2","99","2018-09-19 16:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1006.3","...","1008.0","2018-09-20 08:22","1004.2","2018-09-20 14:05","29.2","33.8","2018-09-20 11:36","25.9","2018-09-20 06:44","...","63","47","2018-09-20 11:25","1.7","152","8.2","315","2018-09-20 13:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1007.7","...","1010.5","2018-09-21 23:53","1005.8","2018-09-21 14:41","28.9","33.4","2018-09-21 11:33","25.3","2018-09-21 05:23","...","69","44","2018-09-21 11:21","1.6","29","6.9","97","2018-09-21 16:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1009.9","...","1011.1","2018-09-22 09:05","1008.6","2018-09-22 15:21","28.6","33.0","2018-09-22 12:16","25.8","2018-09-22 05:14","...","69","50","2018-09-22 12:13","1.8","104","7.0","93","2018-09-22 15:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1008.8","...","1010.8","2018-09-23 00:01","1006.8","2018-09-23 14:41","28.2","33.3","2018-09-23 10:41","26.2","2018-09-23 05:02","...","74","50","2018-09-23 10:41","1.9","100","8.7","96","2018-09-23 12:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1007.0","...","1009.0","2018-09-24 00:01","1005.5","2018-09-24 14:46","26.4","29.1","2018-09-24 13:23","24.4","2018-09-24 20:46","...","77","59","2018-09-24 14:21","2.3","60","11.6","67","2018-09-24 13:49","10.5","...","...","","...","","...","...","...","...","...","...","","..."
"25","1005.6","...","1007.1","2018-09-25 09:05","1003.9","2018-09-25 15:33","27.0","29.2","2018-09-25 10:51","25.3","2018-09-25 20:45","...","67","52","2018-09-25 11:03","2.8","64","12.6","91","2018-09-25 10:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1005.4","...","1006.8","2018-09-26 10:28","1003.7","2018-09-26 14:31","24.1","25.6","2018-09-26 22:12","22.8","2018-09-26 06:03","...","83","67","2018-09-26 03:47","1.1","195","6.7","45","2018-09-26 00:06","12.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1005.1","...","1006.4","2018-09-27 08:38","1003.9","2018-09-27 14:41","25.1","28.6","2018-09-27 10:31","23.0","2018-09-27 06:45","...","79","55","2018-09-27 11:37","1.5","34","9.3","105","2018-09-27 12:58","8.5","...","...","","...","","...","...","...","...","...","...","","..."
"28","1004.3","...","1005.9","2018-09-28 00:01","1002.6","2018-09-28 14:18","24.3","25.6","2018-09-28 01:12","23.2","2018-09-28 04:08","...","85","75","2018-09-28 23:53","1.6","12","11.1","349","2018-09-28 20:52","7.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1003.5","...","1005.6","2018-09-29 23:24","1001.8","2018-09-29 03:33","22.9","25.7","2018-09-29 16:11","21.1","2018-09-29 23:41","...","77","58","2018-09-29 16:01","2.1","240","9.0","249","2018-09-29 12:16","14.5","...","...","","...","","...","...","...","...","...","...","","..."
"30","1007.7","...","1010.3","2018-09-30 21:12","1005.1","2018-09-30 00:02","23.7","27.5","2018-09-30 11:01","20.6","2018-09-30 05:01","...","61","41","2018-09-30 11:03","2.2","84","9.4","84","2018-09-30 13:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
