"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1006.5","...","1009.0","2018-09-01 00:01","1003.7","2018-09-01 14:41","26.6","32.0","2018-09-01 13:11","23.8","2018-09-01 05:41","...","78","53","2018-09-01 11:51","1.6","165","8.8","352","2018-09-01 14:42","59.5","...","...","","...","","...","...","...","...","...","...","","..."
"02","1003.4","...","1005.9","2018-09-02 00:01","1000.4","2018-09-02 15:11","27.7","32.9","2018-09-02 12:05","24.1","2018-09-02 06:11","...","73","50","2018-09-02 12:02","1.6","155","8.3","146","2018-09-02 15:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1001.0","...","1003.3","2018-09-03 00:01","998.2","2018-09-03 15:11","29.1","34.5","2018-09-03 12:16","24.1","2018-09-03 04:51","...","64","41","2018-09-03 13:02","2.3","176","11.7","260","2018-09-03 13:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1000.0","...","1001.8","2018-09-04 21:01","997.0","2018-09-04 15:01","30.0","36.5","2018-09-04 13:41","25.0","2018-09-04 05:51","...","64","40","2018-09-04 13:01","2.0","154","9.9","289","2018-09-04 10:37","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1001.6","...","1002.9","2018-09-05 23:41","999.8","2018-09-05 14:21","29.0","34.7","2018-09-05 11:31","25.3","2018-09-05 05:41","...","67","43","2018-09-05 10:51","1.8","153","6.6","23","2018-09-05 13:26","5.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1001.7","...","1003.0","2018-09-06 07:51","999.5","2018-09-06 15:51","29.1","34.2","2018-09-06 11:33","26.1","2018-09-06 03:08","...","73","51","2018-09-06 11:35","1.6","142","7.4","310","2018-09-06 13:17","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1002.4","...","1004.3","2018-09-07 22:42","1000.5","2018-09-07 13:11","27.9","32.9","2018-09-07 10:21","25.1","2018-09-07 15:01","...","78","58","2018-09-07 10:21","1.6","161","8.4","234","2018-09-07 14:05","15.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1004.4","...","1006.2","2018-09-08 21:04","1002.6","2018-09-08 04:51","26.6","30.8","2018-09-08 12:01","23.6","2018-09-08 23:21","...","82","63","2018-09-08 12:01","1.5","310","11.1","14","2018-09-08 18:11","101.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1007.4","...","1010.6","2018-09-09 22:01","1004.6","2018-09-09 01:31","23.8","24.9","2018-09-09 04:45","22.3","2018-09-09 22:11","...","87","79","2018-09-09 23:11","1.8","79","11.1","81","2018-09-09 16:57","15.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1007.5","...","1010.3","2018-09-10 00:12","1003.6","2018-09-10 23:51","24.2","26.3","2018-09-10 16:14","21.3","2018-09-10 05:11","...","87","79","2018-09-10 04:11","2.9","74","11.1","96","2018-09-10 22:19","5.5","...","...","","...","","...","...","...","...","...","...","","..."
