"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.9","...","1020.0","2018-01-01 09:10","1015.5","2018-01-01 14:41","16.6","18.8","2018-01-01 12:43","14.5","2018-01-01 00:11","...","71","61","2018-01-01 12:53","3.5","101","10.8","100","2018-01-01 14:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1015.5","...","1018.0","2018-01-02 08:47","1012.5","2018-01-02 14:53","19.9","23.4","2018-01-02 13:05","17.5","2018-01-02 00:01","...","66","52","2018-01-02 14:23","3.7","87","11.8","83","2018-01-02 08:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1014.7","...","1016.8","2018-01-03 09:32","1011.8","2018-01-03 13:52","21.1","24.3","2018-01-03 11:55","19.3","2018-01-03 06:51","...","63","50","2018-01-03 11:55","3.3","95","10.7","96","2018-01-03 15:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1012.7","...","1014.7","2018-01-04 09:25","1009.9","2018-01-04 14:41","20.1","23.2","2018-01-04 13:02","17.0","2018-01-04 23:51","...","76","60","2018-01-04 12:21","2.1","91","8.0","287","2018-01-04 09:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1013.9","...","1015.6","2018-01-05 09:45","1011.1","2018-01-05 03:11","16.3","18.5","2018-01-05 01:41","15.0","2018-01-05 12:11","...","90","82","2018-01-05 16:11","2.3","97","9.0","97","2018-01-05 17:49","2.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1013.1","...","1015.2","2018-01-06 09:12","1010.0","2018-01-06 14:01","16.7","17.9","2018-01-06 22:54","15.7","2018-01-06 00:41","...","89","80","2018-01-06 05:21","3.1","88","9.4","113","2018-01-06 09:43","20.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1012.0","...","1015.2","2018-01-07 09:11","1008.0","2018-01-07 23:51","17.8","20.5","2018-01-07 23:34","16.2","2018-01-07 07:41","...","89","67","2018-01-07 23:34","2.0","76","10.1","91","2018-01-07 20:06","64.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1011.0","...","1017.8","2018-01-08 23:41","1007.3","2018-01-08 01:21","17.2","20.3","2018-01-08 00:18","12.3","2018-01-08 23:59","...","93","68","2018-01-08 00:21","1.5","3","8.3","95","2018-01-08 19:55","72.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1019.5","...","...","","...","","11.2","...","","...","","...","78","...","","1.6","105","...","...","","23.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1022.6","...","...","","...","","11.3","...","","...","","...","58","...","","1.6","160","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1024.1","...","1027.2","2018-01-11 22:03","1021.6","2018-01-11 14:22","11.3","14.8","2018-01-11 09:41","9.1","2018-01-11 23:51","...","56","41","2018-01-11 10:13","1.8","72","9.3","84","2018-01-11 16:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1026.2","...","1027.8","2018-01-12 09:58","1023.7","2018-01-12 13:51","10.4","12.6","2018-01-12 10:53","8.3","2018-01-12 04:51","...","54","42","2018-01-12 10:21","2.1","75","11.5","88","2018-01-12 12:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1024.1","...","1026.3","2018-01-13 00:02","1021.2","2018-01-13 14:51","11.8","14.7","2018-01-13 12:36","7.9","2018-01-13 05:21","...","59","42","2018-01-13 10:31","2.8","90","11.4","87","2018-01-13 15:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1018.0","...","1022.5","2018-01-14 00:01","1014.4","2018-01-14 14:22","16.0","20.6","2018-01-14 14:02","10.7","2018-01-14 06:01","...","66","50","2018-01-14 14:04","2.1","105","8.3","48","2018-01-14 12:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1013.6","...","1016.9","2018-01-15 08:35","1010.9","2018-01-15 15:35","18.6","23.9","2018-01-15 14:21","13.5","2018-01-15 06:50","...","62","44","2018-01-15 14:22","2.0","92","8.5","75","2018-01-15 13:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1010.3","...","1013.3","2018-01-16 08:41","1007.8","2018-01-16 14:15","18.5","25.3","2018-01-16 13:41","14.3","2018-01-16 07:01","...","68","33","2018-01-16 13:26","1.3","147","6.1","316","2018-01-16 14:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1011.2","...","1013.6","2018-01-17 09:11","1008.6","2018-01-17 00:01","19.5","24.1","2018-01-17 13:25","16.9","2018-01-17 05:29","...","74","46","2018-01-17 13:43","2.3","84","11.6","78","2018-01-17 15:33","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1013.2","...","1015.5","2018-01-18 09:24","1011.4","2018-01-18 14:41","20.0","22.0","2018-01-18 12:11","18.9","2018-01-18 00:08","...","87","75","2018-01-18 12:03","3.0","83","10.0","89","2018-01-18 12:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1014.9","...","1017.7","2018-01-19 09:12","1013.7","2018-01-19 00:01","17.8","19.6","2018-01-19 01:16","16.6","2018-01-19 06:12","...","93","88","2018-01-19 22:33","2.2","96","7.3","113","2018-01-19 19:30","11.5","...","...","","...","","...","...","...","...","...","...","","..."
