"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.3","...","1010.6","2018-05-01 08:22","1006.7","2018-05-01 15:42","26.6","30.7","2018-05-01 12:11","23.6","2018-05-01 05:52","...","72","54","2018-05-01 12:21","1.4","164","5.4","298","2018-05-01 14:16","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1007.6","...","1009.5","2018-05-02 23:23","1005.2","2018-05-02 15:04","27.8","32.8","2018-05-02 14:21","23.7","2018-05-02 04:36","...","70","46","2018-05-02 10:45","2.2","281","10.2","309","2018-05-02 11:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1013.2","...","1015.5","2018-05-03 10:12","1008.9","2018-05-03 00:02","21.5","25.4","2018-05-03 00:01","19.5","2018-05-03 14:23","...","74","62","2018-05-03 21:31","3.1","96","11.0","88","2018-05-03 00:12","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"04","1012.9","...","1014.1","2018-05-04 08:03","1011.7","2018-05-04 15:54","23.5","26.5","2018-05-04 12:41","21.0","2018-05-04 00:02","...","59","48","2018-05-04 09:54","3.6","88","10.7","92","2018-05-04 09:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1011.6","...","1013.6","2018-05-05 07:55","1009.6","2018-05-05 15:31","26.0","30.5","2018-05-05 12:51","22.8","2018-05-05 05:52","...","63","48","2018-05-05 12:51","1.6","157","6.2","157","2018-05-05 03:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1007.4","...","1010.8","2018-05-06 00:01","1004.9","2018-05-06 15:55","27.0","32.0","2018-05-06 11:11","22.4","2018-05-06 04:02","...","68","45","2018-05-06 11:10","1.6","4","6.4","269","2018-05-06 10:57","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1003.4","...","1005.8","2018-05-07 00:02","1001.1","2018-05-07 15:22","28.0","33.1","2018-05-07 13:02","24.6","2018-05-07 06:02","...","71","44","2018-05-07 13:12","1.6","89","10.0","287","2018-05-07 13:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1005.4","...","1010.8","2018-05-08 23:31","1001.8","2018-05-08 00:34","24.2","29.8","2018-05-08 11:35","20.9","2018-05-08 20:13","...","78","56","2018-05-08 11:54","2.7","109","17.5","262","2018-05-08 02:27","27.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1012.4","...","1015.2","2018-05-09 21:21","1009.5","2018-05-09 02:22","22.3","23.9","2018-05-09 19:43","20.8","2018-05-09 04:31","...","69","58","2018-05-09 14:32","2.8","96","8.6","88","2018-05-09 17:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1013.0","...","1015.5","2018-05-10 08:14","1010.9","2018-05-10 16:43","22.5","26.4","2018-05-10 15:52","19.8","2018-05-10 05:21","...","60","47","2018-05-10 12:57","3.4","82","10.6","96","2018-05-10 08:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1009.6","...","1012.1","2018-05-11 08:42","1007.3","2018-05-11 16:32","25.1","28.5","2018-05-11 11:11","21.8","2018-05-11 00:02","...","61","45","2018-05-11 10:32","1.8","103","7.0","95","2018-05-11 01:15","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1007.1","...","1008.9","2018-05-12 08:11","1005.2","2018-05-12 16:31","26.3","30.8","2018-05-12 13:07","21.4","2018-05-12 04:54","...","68","49","2018-05-12 12:02","1.6","8","7.0","305","2018-05-12 12:00","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1006.3","...","1007.6","2018-05-13 07:14","1004.8","2018-05-13 16:07","27.5","31.6","2018-05-13 12:52","23.4","2018-05-13 05:24","...","68","53","2018-05-13 12:52","1.5","95","6.0","307","2018-05-13 11:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1006.3","...","1008.6","2018-05-14 08:32","1003.7","2018-05-14 15:21","27.8","34.4","2018-05-14 14:02","24.6","2018-05-14 05:33","...","68","43","2018-05-14 13:21","1.4","28","7.0","320","2018-05-14 16:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1005.8","...","1007.6","2018-05-15 09:44","1004.6","2018-05-15 14:12","27.9","32.7","2018-05-15 12:02","24.4","2018-05-15 05:33","...","73","54","2018-05-15 12:03","1.4","3","5.5","350","2018-05-15 13:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1004.5","...","1006.1","2018-05-16 10:32","1003.3","2018-05-16 16:14","28.7","33.6","2018-05-16 10:42","24.9","2018-05-16 04:02","...","72","51","2018-05-16 10:25","1.7","8","7.9","21","2018-05-16 13:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
