"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.9","...","1010.5","2018-03-01 08:01","1006.5","2018-03-01 13:32","20.6","24.9","2018-03-01 12:07","15.6","2018-03-01 06:27","...","77","59","2018-03-01 12:08","2.8","89","11.1","84","2018-03-01 13:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1008.0","...","1010.0","2018-03-02 09:02","1005.8","2018-03-02 15:26","21.9","26.5","2018-03-02 15:21","18.5","2018-03-02 23:54","...","73","57","2018-03-02 14:42","1.7","22","7.8","108","2018-03-02 00:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1007.0","...","1008.7","2018-03-03 08:43","1004.9","2018-03-03 14:22","21.2","25.7","2018-03-03 17:21","18.1","2018-03-03 04:01","...","84","70","2018-03-03 17:21","1.0","1","4.9","320","2018-03-03 12:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1007.7","...","1009.5","2018-03-04 08:24","1004.9","2018-03-04 21:32","23.6","27.9","2018-03-04 13:02","20.7","2018-03-04 06:05","...","81","62","2018-03-04 11:53","1.3","14","7.1","130","2018-03-04 21:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1009.9","...","1016.3","2018-03-05 22:45","1006.5","2018-03-05 02:21","21.3","28.6","2018-03-05 11:21","15.5","2018-03-05 23:41","...","85","65","2018-03-05 11:41","2.4","90","14.0","73","2018-03-05 18:24","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1016.5","...","1018.7","2018-03-06 09:52","1015.3","2018-03-06 14:51","16.2","17.3","2018-03-06 13:02","15.2","2018-03-06 05:44","...","85","82","2018-03-06 18:45","3.5","90","9.5","94","2018-03-06 19:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1012.8","...","1016.3","2018-03-07 00:01","1008.9","2018-03-07 14:51","18.6","24.4","2018-03-07 15:45","15.8","2018-03-07 19:45","...","79","63","2018-03-07 12:31","2.5","48","11.6","291","2018-03-07 17:24","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1017.0","...","1021.6","2018-03-08 21:32","1011.5","2018-03-08 02:56","13.0","16.7","2018-03-08 00:02","10.6","2018-03-08 20:28","...","87","68","2018-03-08 15:31","1.2","276","7.3","97","2018-03-08 12:36","28.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1020.1","...","1021.8","2018-03-09 10:33","1018.8","2018-03-09 15:04","12.7","14.1","2018-03-09 14:56","10.8","2018-03-09 00:02","...","63","43","2018-03-09 11:52","2.1","108","11.2","94","2018-03-09 10:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1018.7","...","1020.4","2018-03-10 07:42","1016.6","2018-03-10 14:22","15.6","19.5","2018-03-10 13:02","11.6","2018-03-10 06:32","...","54","39","2018-03-10 13:04","2.8","87","11.3","86","2018-03-10 14:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1017.2","...","1019.3","2018-03-11 07:38","1014.9","2018-03-11 15:11","18.8","23.1","2018-03-11 12:42","13.8","2018-03-11 06:01","...","47","31","2018-03-11 12:31","2.9","90","10.1","83","2018-03-11 13:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1014.5","...","1016.6","2018-03-12 00:01","1011.9","2018-03-12 15:11","19.5","26.0","2018-03-12 12:46","15.0","2018-03-12 06:14","...","51","20","2018-03-12 12:54","1.7","166","6.9","323","2018-03-12 13:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1012.8","...","1015.2","2018-03-13 08:32","1010.2","2018-03-13 13:54","19.9","26.1","2018-03-13 13:13","15.4","2018-03-13 06:33","...","63","33","2018-03-13 12:31","1.2","316","6.3","314","2018-03-13 12:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1011.2","...","1013.6","2018-03-14 08:56","1009.5","2018-03-14 16:59","22.0","28.0","2018-03-14 13:01","17.9","2018-03-14 06:15","...","64","31","2018-03-14 12:21","1.3","73","7.2","120","2018-03-14 21:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1009.9","...","1011.9","2018-03-15 20:31","1008.3","2018-03-15 03:22","21.4","25.6","2018-03-15 13:04","18.8","2018-03-15 23:55","...","75","56","2018-03-15 12:31","1.6","160","9.7","323","2018-03-15 14:54","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"16","1012.1","...","1016.5","2018-03-16 21:59","1007.6","2018-03-16 03:33","19.6","24.7","2018-03-16 12:23","17.1","2018-03-16 23:53","...","80","57","2018-03-16 12:28","1.8","82","9.7","101","2018-03-16 17:18","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1014.9","...","1017.1","2018-03-17 09:01","1013.3","2018-03-17 15:11","18.9","20.4","2018-03-17 22:48","16.8","2018-03-17 00:02","...","83","76","2018-03-17 14:44","2.9","83","10.3","94","2018-03-17 15:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1011.5","...","1013.7","2018-03-18 00:01","1009.5","2018-03-18 14:51","21.8","27.6","2018-03-18 12:01","18.4","2018-03-18 03:44","...","77","47","2018-03-18 12:02","1.4","153","9.4","309","2018-03-18 12:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1007.8","...","1010.6","2018-03-19 00:11","1004.0","2018-03-19 15:22","23.1","29.0","2018-03-19 12:11","19.4","2018-03-19 06:04","...","74","41","2018-03-19 11:22","1.2","321","8.2","313","2018-03-19 12:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1008.0","...","1012.2","2018-03-20 22:31","1005.2","2018-03-20 03:51","18.2","23.2","2018-03-20 00:21","14.0","2018-03-20 20:51","...","88","79","2018-03-20 00:02","1.9","89","11.4","288","2018-03-20 09:23","5.5","...","...","","...","","...","...","...","...","...","...","","..."
"21","1013.3","...","1015.6","2018-03-21 21:43","1010.8","2018-03-21 08:01","14.5","16.1","2018-03-21 11:01","12.5","2018-03-21 23:03","...","66","51","2018-03-21 16:13","2.4","317","8.7","322","2018-03-21 11:27","0.5","...","...","","...","","...","...","...","...","...","...","","..."
