"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","999.2","...","1001.0","2018-07-01 00:01","997.4","2018-07-01 14:24","29.1","32.7","2018-07-01 13:01","25.6","2018-07-01 04:01","...","68","54","2018-07-01 11:51","2.6","305","10.6","326","2018-07-01 14:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","997.4","...","998.8","2018-07-02 00:01","995.2","2018-07-02 16:53","30.6","35.4","2018-07-02 15:54","27.7","2018-07-02 06:24","...","57","42","2018-07-02 12:42","3.2","238","13.9","293","2018-07-02 13:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","996.6","...","998.3","2018-07-03 12:01","994.7","2018-07-03 15:18","30.3","33.5","2018-07-03 15:03","26.5","2018-07-03 04:21","...","58","46","2018-07-03 14:52","3.5","278","20.7","290","2018-07-03 10:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","996.4","...","997.7","2018-07-04 21:46","993.9","2018-07-04 14:51","30.9","34.1","2018-07-04 14:42","28.1","2018-07-04 00:01","...","54","41","2018-07-04 14:42","3.4","273","16.3","236","2018-07-04 11:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","997.0","...","998.8","2018-07-05 22:05","995.5","2018-07-05 15:31","29.3","31.4","2018-07-05 14:21","26.5","2018-07-05 04:52","...","63","50","2018-07-05 17:15","2.1","192","13.4","251","2018-07-05 11:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","998.3","...","1000.2","2018-07-06 22:43","996.3","2018-07-06 13:24","29.5","35.7","2018-07-06 11:01","26.0","2018-07-06 04:51","...","63","38","2018-07-06 14:02","1.9","154","9.1","289","2018-07-06 13:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1000.5","...","1002.6","2018-07-07 21:32","999.3","2018-07-07 12:11","27.7","33.3","2018-07-07 11:43","24.6","2018-07-07 14:04","...","74","50","2018-07-07 11:41","1.6","158","9.1","261","2018-07-07 13:51","12.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1002.1","...","1003.9","2018-07-08 21:58","1000.7","2018-07-08 15:37","29.1","33.4","2018-07-08 11:51","24.9","2018-07-08 04:15","...","64","46","2018-07-08 11:18","1.8","25","6.6","142","2018-07-08 12:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1002.9","...","1004.9","2018-07-09 07:04","1000.7","2018-07-09 16:02","29.6","33.6","2018-07-09 13:52","25.8","2018-07-09 04:31","...","60","42","2018-07-09 17:04","2.7","91","10.5","98","2018-07-09 13:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","998.3","...","1003.5","2018-07-10 00:01","987.6","2018-07-10 23:54","27.5","30.9","2018-07-10 13:11","25.2","2018-07-10 05:42","...","76","58","2018-07-10 07:50","3.3","323","20.2","315","2018-07-10 22:15","16.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","994.6","...","1002.0","2018-07-11 22:34","983.8","2018-07-11 02:48","27.5","30.6","2018-07-11 13:53","24.1","2018-07-11 03:41","...","81","68","2018-07-11 16:52","2.7","89","22.1","271","2018-07-11 02:54","59.0","...","...","","...","","...","...","...","...","...","...","","..."
