"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1019.1","...","1021.2","2018-02-01 09:41","1016.9","2018-02-01 17:54","11.2","12.4","2018-02-01 19:33","10.0","2018-02-01 07:18","...","88","79","2018-02-01 01:22","1.6","97","8.4","82","2018-02-01 03:04","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1020.2","...","1023.1","2018-02-02 23:57","1017.7","2018-02-02 02:55","12.1","13.5","2018-02-02 10:51","10.3","2018-02-02 23:11","...","88","81","2018-02-02 15:44","1.7","134","6.1","83","2018-02-02 09:44","5.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1022.7","...","1023.8","2018-02-03 07:55","1020.6","2018-02-03 14:48","9.7","11.2","2018-02-03 08:02","8.1","2018-02-03 20:22","...","87","80","2018-02-03 20:53","1.5","80","6.4","105","2018-02-03 13:19","26.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1022.9","...","1024.1","2018-02-04 20:31","1021.2","2018-02-04 14:11","8.7","9.7","2018-02-04 11:33","7.9","2018-02-04 23:43","...","89","83","2018-02-04 14:31","1.4","87","5.9","74","2018-02-04 11:08","25.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1023.3","...","1025.3","2018-02-05 09:21","1021.6","2018-02-05 14:28","7.6","8.8","2018-02-05 23:16","6.8","2018-02-05 12:16","...","88","80","2018-02-05 23:22","0.9","165","4.1","160","2018-02-05 21:44","22.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1021.5","...","1024.0","2018-02-06 00:21","1019.9","2018-02-06 14:26","9.7","10.9","2018-02-06 23:11","7.7","2018-02-06 00:12","...","65","54","2018-02-06 14:35","1.9","111","6.0","119","2018-02-06 21:04","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","1017.8","...","1020.6","2018-02-07 00:01","1015.2","2018-02-07 03:20","11.2","12.1","2018-02-07 20:43","10.4","2018-02-07 03:13","...","80","60","2018-02-07 01:41","2.4","115","9.1","90","2018-02-07 13:03","14.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1016.3","...","1018.4","2018-02-08 02:12","1014.0","2018-02-08 14:54","12.0","13.6","2018-02-08 13:21","10.2","2018-02-08 06:17","...","84","70","2018-02-08 13:21","3.1","104","9.7","112","2018-02-08 17:03","9.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1012.9","...","1015.0","2018-02-09 08:31","1010.3","2018-02-09 14:41","15.2","18.1","2018-02-09 12:14","12.5","2018-02-09 00:02","...","94","87","2018-02-09 13:11","1.2","93","7.6","81","2018-02-09 00:24","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1014.6","...","1019.4","2018-02-10 23:41","1011.7","2018-02-10 03:31","15.2","16.8","2018-02-10 11:51","12.8","2018-02-10 23:51","...","97","82","2018-02-10 23:21","1.2","84","9.0","94","2018-02-10 21:11","5.5","...","...","","...","","...","...","...","...","...","...","","..."
