日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/02/19,永和,PM2.5,22,19,16,12,13,16,13,13,12,17,61,76,49,33,26,36,42,36,26,26,32,37,42,47
2018/02/20,永和,PM2.5,50,46,42,42,42,39,35,25,13,13,18,20,16,13,,,10,7,13,24,28,27,24,24
2018/02/21,永和,PM2.5,26,25,22,19,16,14,13,12,8,11,16,17,13,3,2,5,4,7,12,14,16,14,11,9
2018/02/22,永和,PM2.5,6,7,9,7,9,16,19,18,17,18,13,8,8,10,13,11,14,19,16,12,8,11,16,17
2018/02/23,永和,PM2.5,16,15,15,15,16,20,20,22,26,25,20,18,29,30,22,24,25,26,26,21,21,21,23,25
2018/02/24,永和,PM2.5,23,27,30,28,28,27,25,28,35,34,34,38,39,39,45,51,48,46,50,62,62,52,51,52
2018/02/25,永和,PM2.5,51,47,45,46,47,43,35,32,31,24,14,14,17,16,14,16,14,12,14,18,15,11,12,10
2018/02/26,永和,PM2.5,10,8,6,7,7,7,12,14,15,21,22,16,14,18,,24,19,14,9,10,16,16,12,12
2018/02/27,永和,PM2.5,16,12,9,13,14,14,15,17,18,23,,,21,26,37,41,40,44,45,46,55,55,47,46
2018/02/28,永和,PM2.5,45,41,45,44,27,23,30,33,26,34,45,41,43,45,39,26,23,24,29,34,32,31,28,22
2018/03/01,永和,PM2.5,17,13,12,15,11,15,20,23,24,21,15,12,10,9,11,14,12,10,12,9,7,7,6,7
2018/03/02,永和,PM2.5,5,2,4,4,3,5,6,8,13,27,39,39,40,45,51,51,45,49,62,74,83,83,73,66
2018/03/03,永和,PM2.5,70,73,75,67,60,63,68,72,79,80,83,88,79,65,59,52,47,49,51,50,52,51,48,45
2018/03/04,永和,PM2.5,38,34,32,36,32,25,31,44,42,30,32,42,45,51,55,52,47,36,29,37,44,45,43,41
2018/03/05,永和,PM2.5,41,42,41,33,28,27,24,24,29,38,,30,26,18,18,23,26,23,13,8,14,13,9,10
2018/03/06,永和,PM2.5,8,10,11,12,11,12,15,13,13,12,12,10,7,7,7,8,10,12,10,11,10,6,7,7
