序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
28,屏東縣,恆春鎮,恆春,2019/7/10,相對濕度 RH (percent),89,88,89,89,88,87,87,87,87,88,86,88,88,85,84,83,84,85,87,89,90,90,90,91
29,屏東縣,恆春鎮,恆春,2019/7/10,小時風向值 WD_HR (degrees),236,227,234,231,238,234,236,237,217,236,234,230,243,235,241,240,0,25,230,239,244,241,234,219
30,屏東縣,恆春鎮,恆春,2019/7/10,風向 WIND_DIREC (degrees),228,234,234,234,237,234,235,234,204,250,229,238,242,237,244,242,243,x,x,235,241,236,234,196
31,屏東縣,恆春鎮,恆春,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),29,26,36,34,36,33,33,35,37,39,40,35,38,40,40,41,x,x,40,41,43,39,38,38
32,屏東縣,恆春鎮,恆春,2019/7/10,一氧化氮 NO (ppb),1.2,1.3,1.2,1.2,1,1.2,1.1,0.9,x,1,0.9,0.9,1.2,1,1,x,x,x,1,x,x,1.1,1.1,0.9
33,屏東縣,恆春鎮,恆春,2019/7/10,風速 WIND_SPEED (m/sec),9.3,7.1,9.2,7.8,7.8,7.9,7.6,7.5,5.4,6.8,8.9,8.5,8,8.9,8.8,8,6.6,x,x,6.8,6.3,6.2,6.9,5.9
34,屏東縣,恆春鎮,恆春,2019/7/10,二氧化硫 SO2 (ppb),1.7,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.7,0.7,0.7,x,x,x,0.4,0.5,0.6,0.4,0.6,0.5
35,屏東縣,恆春鎮,恆春,2019/7/10,臭氧 O3 (ppb),26,26,27,25,27,29,28,28,27,27,29,29,28,28,27,x,x,x,29,25,27,26,26,27
36,屏東縣,潮州鎮,潮州,2019/7/10,二氧化氮 NO2 (ppb),1.4,1.4,1.9,2,2.4,1.9,2.3,3,2.7,1.7,1.8,1.8,1.8,2,2.1,2.3,3.4,3.5,2.9,3.2,2.4,2.1,2.2,2.2
37,屏東縣,潮州鎮,潮州,2019/7/10,一氧化氮 NO (ppb),1.6,1.2,1.2,1.1,1.3,1.3,1.6,1.8,2,1.6,1.7,1.9,2.1,1.5,1.8,1.9,1.6,1.8,1.3,1.3,1.4,1.1,1.1,1.2
38,屏東縣,潮州鎮,潮州,2019/7/10,小時風向值 WD_HR (degrees),80,91,50,113,63,193,91,88,186,228,239,254,245,260,58,66,59,41,54,339,76,69,341,33
