序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
27,臺南市,善化區,善化,2019/7/10,小時風速值 WS_HR (m/sec),1.4,2.2,1.8,1.8,1.8,1.9,1.5,2.2,0.4,1.3,1.8,2.4,1,2.5,1.1,1.3,2.7,2.7,1.3,1.9,1,1.3,2.6,3.3
28,臺南市,善化區,善化,2019/7/10,風向 WIND_DIREC (degrees),160,146,111,114,132,129,111,126,355,60,191,209,158,136,17,109,152,181,128,106,114,123,150,139
29,臺南市,善化區,善化,2019/7/10,臭氧 O3 (ppb),10,13,13,15,13,13,14,15,20,17,25,25,27,28,21,21,21,22,22,22,19,21,21,23
30,臺南市,善化區,善化,2019/7/10,小時風向值 WD_HR (degrees),143,140,117,126,126,128,128,123,32,41,208,200,162,157,83,80,135,145,168,139,161,103,143,143
31,臺南市,善化區,善化,2019/7/10,氮氧化物 NOx (ppb),7.2,3,3.3,3.3,4.5,4.5,5.3,5.5,5.1,10,9.5,8,7.5,6.9,6.9,6.8,5.1,4.8,7.1,7,8.2,3.8,3.1,2.3
32,臺南市,善化區,善化,2019/7/10,二氧化硫 SO2 (ppb),1.5,1.9,2.1,2.1,1.8,1.8,1.6,2.1,1.8,2.9,2.9,2.3,2.3,2.5,2.7,2.2,2,2,2.1,3.1,1.7,1.6,1.7,1.6
33,臺南市,善化區,善化,2019/7/10,一氧化氮 NO (ppb),1.5,1.1,0.8,1.1,1.4,1.2,1.4,1.9,1.8,2.5,2.9,2.6,2,2,1.6,1.8,1.6,1.3,1.5,2.1,0.9,1,1.1,1.3
34,臺南市,善化區,善化,2019/7/10,二氧化碳 CO2 (ppm),419,416,417,414,416,416,409,403,399,400,395,397,392,394,397,400,395,399,403,405,406,404,406,404
35,臺南市,善化區,善化,2019/7/10,一氧化碳 CO (ppm),0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.18,0.15,0.23,0.17,0.24,0.17,0.22,0.17,0.13,0.13,0.15,0.17,0.32,0.18,0.12,0.14,0.1
36,臺南市,善化區,善化,2019/7/10,二氧化氮 NO2 (ppb),5.7,1.9,2.5,2.2,3.1,3.3,3.9,3.6,3.3,7.5,6.6,5.4,5.5,4.9,5.3,5.1,3.5,3.5,5.7,4.9,7.2,2.8,2.1,1
37,臺南市,善化區,善化,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),30,27,27,29,26,27,19,27,29,21,31,27,26,30,26,22,27,26,20,19,14,11,11,15
38,臺南市,安南區,安南,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.24,0.3,0.46,0.31,0.43,0.33,0.2,0.25,0.47,0.19,0.05,0.09,0.07,0.08,0.04,0.64,0.71,0.65,0.37,0.5,0.23,0.19,0.28,0.27
39,臺南市,安南區,安南,2019/7/10,二氧化氮 NO2 (ppb),8,13,10,9.1,8.1,11,10,12,12,9,4.8,6.4,6.2,5.2,5.2,15,14,13,7.3,11,7.6,8.4,7.1,5.8
40,臺南市,安南區,安南,2019/7/10,一氧化氮 NO (ppb),0.5,1,0.9,0.4,0.3,0.6,1.9,5.3,3.8,2.6,0.7,1.9,1.2,1.1,0.6,3.2,3.4,3,0.7,1.3,0.7,0.4,0.3,0
41,臺南市,安南區,安南,2019/7/10,小時風向值 WD_HR (degrees),139,140,118,138,128,131,123,122,174,213,225,225,212,221,224,158,140,113,192,144,97,102,132,129
42,臺南市,安南區,安南,2019/7/10,小時風速值 WS_HR (m/sec),3.1,2.2,2.7,2.5,2.4,2.4,3,3.1,1,2.9,3.9,3.2,2.8,2.9,3.3,2.4,2.7,1.6,1.6,3.1,2.4,3.2,4.5,4.8
43,臺南市,安南區,安南,2019/7/10,總碳氫化合物 THC (ppm),2.1,2.2,2.4,2.2,2.3,2.3,2.1,2.1,2.3,2,1.8,1.9,1.9,1.9,1.8,2.5,2.6,2.5,2.2,2.3,2.1,2.1,2.1,2.2
44,臺南市,安南區,安南,2019/7/10,風向 WIND_DIREC (degrees),149,133,117,138,129,147,107,127,132,214,211,213,203,234,228,135,121,316,157,210,103,114,132,134
45,臺南市,安南區,安南,2019/7/10,溫度 AMB_TEMP (℃),27.6,27.6,27.2,27.3,27.3,27.1,27.4,28.1,27.6,29.8,30.9,30.5,29.9,30.6,30.7,30.6,29.7,28.7,26.6,26.3,25.4,25.9,26,25.6
46,臺南市,安南區,安南,2019/7/10,風速 WIND_SPEED (m/sec),2.7,2.6,2.9,2,2.8,3,3.2,3.2,2.3,3.8,4.4,3.6,3.4,4.4,3,3.2,3.1,2.6,4.2,3.4,4.1,3.7,6.1,4.5
47,臺南市,安南區,安南,2019/7/10,氮氧化物 NOx (ppb),8.5,14,11,9.4,8.5,12,12,17,16,12,5.4,8.2,7.4,6.3,5.8,18,18,16,8,12,8.2,8.7,7.4,5.9
48,臺南市,安南區,安南,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),25,28,30,29,22,19,21,24,x,35,32,27,35,30,34,40,39,27,10,10,6,4,5,2
49,臺南市,安南區,安南,2019/7/10,臭氧 O3 (ppb),12,8.8,8.9,11,13,10,12,12,17,24,30,29,29,30,29,22,18,17,23,20,21,20,21,22
50,臺南市,安南區,安南,2019/7/10,一氧化碳 CO (ppm),0.24,0.33,0.23,0.24,0.19,0.2,0.23,0.41,0.35,0.29,0.17,0.22,0.25,0.19,0.16,0.32,0.31,0.39,0.24,0.33,0.22,0.21,0.18,0.15
51,臺南市,安南區,安南,2019/7/10,相對濕度 RH (percent),93,94,96,94,95,95,95,93,92,86,79,82,82,83,83,81,87,88,95,96,98,97,96,98
52,臺南市,安南區,安南,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),10,8,5,11,12,13,14,23,23,22,18,8,9,14,17,18,17,17,11,16,10,16,15,16
53,臺南市,安南區,安南,2019/7/10,甲烷 CH4 (ppm),1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.9,1.9,1.9
54,臺南市,安南區,安南,2019/7/10,二氧化硫 SO2 (ppb),1.7,1.8,1.7,1.5,1.8,2,1.8,1.6,1.2,1.2,0.8,0.5,0.9,0.8,0.8,2.1,2.2,1.7,1.2,1.5,0.8,0.7,1,1
55,臺南市,新營區,新營,2019/7/10,二氧化硫 SO2 (ppb),1.2,1.4,1.5,1.5,1.4,1.4,1.5,1.6,1.9,1.8,2,1.8,1.6,1.6,1.5,1.6,1.8,1.5,1.6,1.5,1.7,1.5,2.1,1.7
56,臺南市,新營區,新營,2019/7/10,甲烷 CH4 (ppm),1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.9,1.8,1.9,1.8,1.8,1.8,1.9,1.8,1.9,1.8,1.9,1.8,1.8,1.8
57,臺南市,新營區,新營,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),11,14,10,12,10,13,11,11,11,15,14,17,11,8,15,10,17,16,10,7,6,5,4,4
58,臺南市,新營區,新營,2019/7/10,相對濕度 RH (percent),86,87,86,87,85,85,85,83,86,89,84,80,85,85,86,86,86,88,89,89,89,91,90,87
59,臺南市,新營區,新營,2019/7/10,一氧化碳 CO (ppm),0.12,0.1,0.1,0.1,0.1,0.1,0.14,0.2,0.19,0.21,0.23,0.22,0.19,0.21,0.17,0.2,0.21,0.26,0.23,0.18,0.15,0.14,0.12,0.11
60,臺南市,新營區,新營,2019/7/10,臭氧 O3 (ppb),16,16,17,16,17,18,16,16,18,20,23,29,23,22,25,22,22,20,20,20,22,22,19,21
61,臺南市,新營區,新營,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),24,24,24,24,29,18,23,16,21,20,28,31,16,20,18,14,18,19,16,17,10,8,10,13
62,臺南市,新營區,新營,2019/7/10,氮氧化物 NOx (ppb),1.5,1.5,1.7,1.8,1.8,1.8,2.6,4.1,6.4,6.6,7.8,6.3,6.3,8.5,5.5,6.1,6.6,8.4,8.4,5.9,5,4.5,4.1,1.9
63,臺南市,新營區,新營,2019/7/10,風速 WIND_SPEED (m/sec),1.6,1.6,1.4,1.5,1.4,1.9,1.3,1.7,2,1.6,2.3,2.2,0.9,1.2,1.3,2.3,1.5,3,2.1,1.4,1.8,1,1.4,1.9
64,臺南市,新營區,新營,2019/7/10,溫度 AMB_TEMP (℃),27.4,27.5,27.5,27.3,27.6,27.5,27.6,29,28.1,27.5,29.5,29.9,27.8,28.4,28.8,28.5,28.4,27.9,26.9,26.9,26.6,26.1,26.3,26.6
65,臺南市,新營區,新營,2019/7/10,風向 WIND_DIREC (degrees),235,203,286,227,302,195,234,246,189,98,183,247,80,6.1,41,212,201,265,189,218,227,37,237,232
66,臺南市,新營區,新營,2019/7/10,總碳氫化合物 THC (ppm),1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.8,1.9,1.9,1.9,2,1.9,1.9,1.8,1.8,1.8
67,臺南市,新營區,新營,2019/7/10,小時風速值 WS_HR (m/sec),0.5,1,0.8,0.7,0.6,0.5,0.8,0.4,1.9,0.3,0.9,1.8,1.1,0.5,0.4,0.2,1.1,0.6,1,0.8,1.6,0.5,0.3,1.4
68,臺南市,新營區,新營,2019/7/10,酸雨 PH_RAIN (pH),4.7,4.6,0,0,0,0,0,0,4.7,0,0,4.7,0,5,4.5,4.8,4.8,4.6,4.7,0,4.6,4.4,0,0
69,臺南市,新營區,新營,2019/7/10,導電度 RAIN_COND (μmho/cm),17,19,0,0,0,0,0,0,6.7,0,0,19,0,14,26,20,12,14,6.1,0,13,19,0,0
70,臺南市,新營區,新營,2019/7/10,降雨強度 RAIN_INT (㎜),3,1.5,0,0,0,0,0,0,13,0,0,2.5,0,0.5,7.5,1,9,20,5.5,0,4.5,1.5,0,0
71,臺南市,新營區,新營,2019/7/10,小時風向值 WD_HR (degrees),238,195,234,254,223,206,229,236,195,82,152,221,173,82,202,220,194,268,185,198,189,210,103,207
72,臺南市,新營區,新營,2019/7/10,一氧化氮 NO (ppb),0.6,0.2,0.4,0.4,0.4,0.5,0.8,1.3,1.6,1.5,2.3,1.4,1.4,1.7,1.2,1.2,1,1,1.2,0.9,0.7,0.7,0.4,0.5
73,臺南市,新營區,新營,2019/7/10,二氧化氮 NO2 (ppb),0.9,1.3,1.3,1.5,1.3,1.3,1.7,2.8,4.9,5.1,5.5,4.9,4.9,6.8,4.3,4.9,5.5,7.4,7.2,5.1,4.4,3.9,3.7,1.4
74,臺南市,新營區,新營,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0,0,0,0,-0.01,0,0.01,0.03,0.04,0.04,0.07,0.06,0.04,0.06,0.03,0.04,0.05,0.06,0.05,0.03,0.02,0.01,0.02,0
